Close,High,Low,Open,Volume,Year,Month,Day,Daily_Range,Daily_Return,MA30,MA90,Date
0.1196430027484893,0.1242860034108161,0.1145709976553917,0.1156430020928382,1047900000,2002,5,23,0.009715005755424402,,,,2002-05-23
0.1209999993443489,0.1225000023841857,0.1197139993309974,0.1214289963245391,111048000,2002,5,24,0.0027860030531882962,1.1342047296424296,,,2002-05-24
0.1157139986753463,0.1232139989733696,0.1157139986753463,0.1213570013642311,66094000,2002,5,28,0.007500000298023293,-4.368595617888705,,,2002-05-28
0.1103570014238357,0.1164290010929107,0.1085710003972053,0.1164290010929107,67578000,2002,5,29,0.0078580006957054,-4.62951528150064,,,2002-05-29
0.1071429997682571,0.110785998404026,0.1071429997682571,0.110785998404026,101542000,2002,5,30,0.0036429986357689043,-2.912367692227291,,,2002-05-30
0.1076430007815361,0.1078569963574409,0.1071429997682571,0.1078569963574409,84644000,2002,5,31,0.0007139965891838074,0.4666669911804533,,,2002-05-31
0.1128569990396499,0.1149289980530738,0.1076430007815361,0.1080000028014183,31514000,2002,6,3,0.0072859972715376975,4.84378753867678,,,2002-06-03
0.1117860004305839,0.1140000000596046,0.1110709980130195,0.1135710030794143,31052000,2002,6,4,0.002929002046585097,-0.9489873186240949,,,2002-06-04
0.1147139966487884,0.1159290000796318,0.1107140034437179,0.1110709980130195,15316000,2002,6,5,0.005214996635913904,2.6192870367722776,,,2002-06-05
0.1182139962911605,0.1232139989733696,0.1148570030927658,0.1150000020861625,23058000,2002,6,6,0.008356995880603804,3.0510659070556168,,,2002-06-06
0.111856997013092,0.1177859976887703,0.1103570014238357,0.1177859976887703,13692000,2002,6,7,0.007428996264934595,-5.377535213690976,,,2002-06-07
0.1156430020928382,0.1174999997019767,0.1134290024638176,0.1134999990463256,4844000,2002,6,10,0.00407099723815911,3.384683283874579,,,2002-06-10
0.1153569966554641,0.1188569962978363,0.1128569990396499,0.1156430020928382,10038000,2002,6,11,0.00599999725818641,-0.24731754814225626,,,2002-06-11
0.1092860028147697,0.1182139962911605,0.1089290007948875,0.1153569966554641,17990000,2002,6,12,0.009284995496273,-5.2627877083403884,,,2002-06-12
0.1082860007882118,0.1122139990329742,0.1080000028014183,0.1104289963841438,25676000,2002,6,13,0.004213996231555897,-0.9150321182968213,,,2002-06-13
0.098642997443676,0.1085710003972053,0.0979999974370002,0.1082139983773231,47838000,2002,6,14,0.010571002960205092,-8.905124646163454,,,2002-06-14
0.0922140032052993,0.1059290021657943,0.0917859971523284,0.1013569980859756,48552000,2002,6,17,0.014143005013465909,-6.5174360116617365,,,2002-06-17
0.0910710021853447,0.0939290001988411,0.0842140018939971,0.0938569977879524,108080000,2002,6,18,0.009714998304844,-1.2395091637111721,,,2002-06-18
0.0951429978013038,0.0996429994702339,0.0892859995365142,0.0911429971456527,54824000,2002,6,19,0.010356999933719704,4.471231806225107,,,2002-06-19
0.0957140028476715,0.1040000021457672,0.0949999988079071,0.0971430018544197,61110000,2002,6,20,0.009000003337860094,0.6001545668764763,,,2002-06-20
0.0979290008544921,0.0989290028810501,0.0947860032320022,0.0982140004634857,23464000,2002,6,21,0.004142999649047893,2.3141838612117827,,,2002-06-21
0.0978569984436035,0.1014290004968643,0.0957140028476715,0.0979290008544921,25676000,2002,6,24,0.00571499764919281,-0.07352511540027473,,,2002-06-24
0.0964289978146553,0.1007139980792999,0.0947140008211135,0.0988570004701614,39410000,2002,6,25,0.005999997258186396,-1.4592728692482626,,,2002-06-25
0.0988570004701614,0.0996429994702339,0.0921429991722107,0.0963570028543472,29246000,2002,6,26,0.00750000029802321,2.5179175461025993,,,2002-06-26
0.0943569988012313,0.1018569990992546,0.0942860022187233,0.1009289994835853,38178000,2002,6,27,0.007570996880531297,-4.552031366042064,,,2002-06-27
0.0999289974570274,0.1013569980859756,0.0960709974169731,0.0960709974169731,92344000,2002,6,28,0.005286000669002505,5.905230906648318,,,2002-06-28
0.1027859970927238,0.1046430021524429,0.0992859974503517,0.1000000014901161,45850000,2002,7,1,0.005357004702091203,2.859029619430542,,,2002-07-01
0.1172859966754913,0.119499996304512,0.1039289981126785,0.1053569987416267,90202000,2002,7,2,0.015570998191833496,14.10697954283302,,,2002-07-02
0.1214289963245391,0.1214289963245391,0.1117860004305839,0.1178570017218589,49574000,2002,7,3,0.009642995893955203,3.532390708594746,,,2002-07-03
0.1276430040597915,0.1299290060997009,0.1213570013642311,0.1214289963245391,20034000,2002,7,5,0.008572004735469804,5.1174002283972175,0.10755956619977947,,2002-07-05
0.1175709962844848,0.1252139955759048,0.1167860031127929,0.1252139955759048,19530000,2002,7,8,0.008427992463111891,-7.890763657198718,0.10749049931764598,,2002-07-08
0.1160710006952285,0.1196430027484893,0.1114289984107017,0.1174999997019767,29358000,2002,7,9,0.0082140043377876,-1.2758211095079797,0.10732619936267529,,2002-07-09
0.1163569986820221,0.1178570017218589,0.1132140010595321,0.1161430031061172,15540000,2002,7,10,0.004643000662326799,0.2463991738509641,0.10734763269623114,,2002-07-10
0.1269290000200271,0.1278569996356964,0.1132860034704208,0.1154289990663528,25298000,2002,7,11,0.014570996165275615,9.085831929109789,0.10790003264943752,,2002-07-11
0.1207859963178634,0.1280000060796737,0.1207140013575553,0.1278569996356964,28378000,2002,7,12,0.0072860047221184054,-4.839716456597354,0.10835479920109109,,2002-07-12
0.1142859980463981,0.1248570010066032,0.1076430007815361,0.1242860034108161,42392000,2002,7,15,0.017214000225067097,-5.381417109281239,0.10857623244325315,,2002-07-15
0.1126430034637451,0.1157139986753463,0.1104289963841438,0.115286000072956,19418000,2002,7,16,0.0052850022912025035,-1.437616690354282,0.10856909925738965,,2002-07-16
0.1089290007948875,0.1163569986820221,0.1075709983706474,0.1145000010728836,12614000,2002,7,17,0.008786000311374692,-3.297144567041821,0.10847386593619977,,2002-07-17
0.1149289980530738,0.1166429966688156,0.1110709980130195,0.1117139980196952,28994000,2002,7,18,0.005571998655796093,5.5081724925433395,0.10848103264967596,,2002-07-18
0.1159999966621398,0.1160710006952285,0.1122139990329742,0.115286000072956,17920000,2002,7,19,0.003857001662254292,0.9318784877698327,0.10840723266204193,,2002-07-19
0.1170710027217865,0.117928996682167,0.1115000024437904,0.1135710030794143,19936000,2002,7,22,0.0064289942383766036,0.9232811124694207,0.10858103285233174,,2002-07-22
0.1146430000662803,0.1213570013642311,0.1130710020661354,0.1176429986953735,15778000,2002,7,23,0.00828599929809569,-2.0739573413206647,0.10854769945144647,,2002-07-23
0.1114289984107017,0.1159290000796318,0.1074289977550506,0.1146430000662803,33558000,2002,7,24,0.008500002324581202,-2.803487045628983,0.10841676617662108,,2002-07-24
0.103643000125885,0.1127860024571418,0.1035000011324882,0.1124999970197677,47558000,2002,7,25,0.009286001324653612,-6.987407583185212,0.10822866608699158,,2002-07-25
0.0871429964900016,0.1058569997549057,0.0850000008940696,0.1049999967217445,70462000,2002,7,26,0.0208569988608361,-15.920036679604477,0.10752389927705125,,2002-07-26
0.0876429975032806,0.0924289971590042,0.0850000008940696,0.0896430015563964,32606000,2002,7,29,0.007428996264934595,0.5737707370854217,0.1071572326123714,,2002-07-29
0.0914290025830268,0.0942860022187233,0.0893570035696029,0.0893570035696029,37772000,2002,7,30,0.0049289986491204,4.319803278755363,0.10713106592496231,,2002-07-30
